Airport_Code,Timezone,Airport_Name
KFME,US/Eastern,Tipton Airport
KMIC,US/Central,Crystal Airport
KHND,US/Pacific,Henderson Executive Airport
KHGR,US/Eastern,Hagerstown Regional Richard A Henson Field
KJRB,US/Eastern,Downtown Manhattan Heliport
KATT,US/Central,Central City Municipal - Larry Reineke Field
K3A6,US/Pacific,Pacific City State Airport
KDCA,US/Eastern,Ronald Reagan Washington National Airport
KFNT,US/Eastern,Bishop International Airport
KDSM,US/Central,Des Moines International Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
KDSM,US/Central,Des Moines International Airport
KPHL,US/Eastern,Philadelphia International Airport
KMCJ,US/Central,Salina Municipal Airport
KMMK,US/Eastern,Meriden Markham Municipal Airport
KPTW,US/Eastern,Heritage Field
KCMH,US/Eastern,John Glenn Columbus International Airport
KBOS,US/Eastern,Logan International Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KATT,US/Central,Central City Municipal - Larry Reineke Field
KCMH,US/Eastern,John Glenn Columbus International Airport
KTZR,US/Eastern,Bolton Field
KDCA,US/Eastern,Ronald Reagan Washington National Airport
KEWB,US/Eastern,New Bedford Regional Airport
KVLL,US/Eastern,Oakland Troy Airport
KIAD,US/Eastern,Washington Dulles International Airport
KDPA,US/Central,Dupage Airport
KLGA,US/Eastern,LaGuardia Airport
KLOM,US/Eastern,Wings Field
KHYX,US/Eastern,Saginaw County H.W. Browne Airport
KDAY,US/Eastern,James M Cox Dayton International Airport
KBDR,US/Eastern,Igor I Sikorsky Memorial Airport
KDPA,US/Central,Dupage Airport
KBOS,US/Eastern,Logan International Airport
KTEB,US/Eastern,Teterboro Airport
KIGQ,US/Central,Lansing Municipal Airport
KLNS,US/Eastern,Lancaster Airport
KEWR,US/Eastern,Newark Liberty International Airport
K3A6,US/Pacific,Pacific City State Airport
KBIV,US/Eastern,West Michigan Regional Airport
KFNT,US/Eastern,Bishop International Airport
KBOI,US/Mountain,Boise Air Terminal/Gowen Field
KCAE,US/Eastern,Columbia Metropolitan Airport
KL35,US/Pacific,Big Bear City Airport
KTYQ,US/Eastern,Indianapolis Executive Airport
KAVP,US/Eastern,Wilkes Barre Scranton International Airport
KOMA,US/Central,Eppley Airfield
KPHL,US/Eastern,Philadelphia International Airport
K3A6,US/Pacific,Pacific City State Airport
KFRG,US/Eastern,Republic Airport
KGPM,US/Central,Grand Prairie Municipal Airport
KMDW,US/Central,Chicago Midway International Airport
KJFK,US/Eastern,John F Kennedy International Airport
KHPN,US/Eastern,Westchester County Airport
KFNT,US/Eastern,Bishop International Airport
K3A6,US/Pacific,Pacific City State Airport
KHWD,US/Pacific,Hayward Executive Airport
KBVY,US/Eastern,Beverly Regional Airport
KORD,US/Central,Chicago O'Hare International Airport
KYIP,US/Eastern,Willow Run Airport
KSGS,US/Central,South St Paul Municipal Airport/Richard E Fleming Field
K3A6,US/Pacific,Pacific City State Airport
KAGS,US/Eastern,Augusta Regional At Bush Field
KPAE,US/Pacific,Seattle Paine Field International Airport
KPHL,US/Eastern,Philadelphia International Airport
KPTW,US/Eastern,Heritage Field
KPHL,US/Eastern,Philadelphia International Airport
KHPN,US/Eastern,Westchester County Airport
KGAI,US/Eastern,Montgomery County Airpark
KMDW,US/Central,Chicago Midway International Airport
KDPA,US/Central,Dupage Airport
KAAO,US/Central,Colonel James Jabara Airport
KPTK,US/Eastern,Oakland County International Airport
KUGN,US/Central,Waukegan National Airport
K3A6,US/Pacific,Pacific City State Airport
KFNT,US/Eastern,Bishop International Airport
KFDK,US/Eastern,Frederick Municipal Airport
KFFO,US/Eastern,Wright-Patterson Air Force Base
KORD,US/Central,Chicago O'Hare International Airport
KVAY,US/Eastern,South Jersey Regional Airport
KBOS,US/Eastern,Logan International Airport
KDAY,US/Eastern,James M Cox Dayton International Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KDPA,US/Central,Dupage Airport
KLOM,US/Eastern,Wings Field
KSLC,US/Mountain,Salt Lake City International Airport
KLAS,US/Pacific,Harry Reid International Airport
KLAX,US/Pacific,Los Angeles International Airport
KGAI,US/Eastern,Montgomery County Airpark
KPTK,US/Eastern,Oakland County International Airport
KDPA,US/Central,Dupage Airport
KFNT,US/Eastern,Bishop International Airport
KORD,US/Central,Chicago O'Hare International Airport
KTEB,US/Eastern,Teterboro Airport
K3A6,US/Pacific,Pacific City State Airport
KMCJ,US/Central,Salina Municipal Airport
KDXR,US/Eastern,Danbury Municipal Airport
K3A6,US/Pacific,Pacific City State Airport
KMGY,US/Eastern,Dayton-Wright Brothers Airport
KMDW,US/Central,Chicago Midway International Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
KFNT,US/Eastern,Bishop International Airport
KBVY,US/Eastern,Beverly Regional Airport
KWRB,US/Eastern,Robins Air Force Base
KDTW,US/Eastern,Detroit Metropolitan Wayne County Airport
KAIK,US/Eastern,Aiken Regional Airport
KGCD,US/Pacific,Grant County Regional Airport / Ogilvie Field
KDPA,US/Central,Dupage Airport
KEWR,US/Eastern,Newark Liberty International Airport
KIGQ,US/Central,Lansing Municipal Airport
KIMM,US/Eastern,Immokalee Regional Airport
KAGC,US/Eastern,Allegheny County Airport
KCLT,US/Eastern,Charlotte Douglas International Airport
KMLE,US/Central,Millard Airport
KAEL,US/Central,Albert Lea Municipal Airport
KLGA,US/Eastern,LaGuardia Airport
KUGN,US/Central,Waukegan National Airport
KDPA,US/Central,Dupage Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KPHL,US/Eastern,Philadelphia International Airport
KSFF,US/Pacific,Felts Field
KCLT,US/Eastern,Charlotte Douglas International Airport
KAGC,US/Eastern,Allegheny County Airport
KMTO,US/Central,Coles County Memorial Airport
KORD,US/Central,Chicago O'Hare International Airport
KBED,US/Eastern,Laurence G Hanscom Field
KRYY,US/Eastern,Cobb County International Airport-McCollum Field
KCMH,US/Eastern,John Glenn Columbus International Airport
KLOM,US/Eastern,Wings Field
KGPM,US/Central,Grand Prairie Municipal Airport
KDAY,US/Eastern,James M Cox Dayton International Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KDAL,US/Central,Dallas Love Field
KDPA,US/Central,Dupage Airport
KMMU,US/Eastern,Morristown Municipal Airport
KSFF,US/Pacific,Felts Field
KDET,US/Eastern,Coleman A. Young Municipal Airport
KBDR,US/Eastern,Igor I Sikorsky Memorial Airport
KPDX,US/Pacific,Portland International Airport
KAFF,US/Mountain,USAF Academy Airfield
KMCC,US/Pacific,McClellan Airfield
KSTP,US/Central,Saint Paul Downtown Holman Field
KBFI,US/Pacific,Boeing Field King County International Airport
KORH,US/Eastern,Worcester Regional Airport
KSCK,US/Pacific,Stockton Metropolitan Airport
KOSU,US/Eastern,The Ohio State University Airport - Don Scott Field
KCLE,US/Eastern,Cleveland Hopkins International Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KMGY,US/Eastern,Dayton-Wright Brothers Airport
KSJC,US/Pacific,Norman Y. Mineta San Jose International Airport
K3A6,US/Pacific,Pacific City State Airport
KPWK,US/Central,Chicago Executive Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KBTA,US/Central,Blair Executive Airport
KMGY,US/Eastern,Dayton-Wright Brothers Airport
KFNT,US/Eastern,Bishop International Airport
KBOS,US/Eastern,Logan International Airport
KSTL,US/Central,St. Louis Lambert International Airport
KLHM,US/Pacific,Lincoln Regional Karl Harder Field
KFNT,US/Eastern,Bishop International Airport
KSAT,US/Central,San Antonio International Airport
KPVD,US/Eastern,Theodore Francis Green State Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KSGH,US/Eastern,Springfield-Beckley Municipal Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KDPA,US/Central,Dupage Airport
KOSU,US/Eastern,The Ohio State University Airport - Don Scott Field
KHWV,US/Eastern,Brookhaven Calabro Airport
KAKR,US/Eastern,Akron Fulton International Airport
K3A6,US/Pacific,Pacific City State Airport
KEOE,US/Eastern,Newberry County Airport
K3A6,US/Pacific,Pacific City State Airport
KLOM,US/Eastern,Wings Field
KDUH,US/Eastern,Toledo Suburban Airport
KMDW,US/Central,Chicago Midway International Airport
KPDK,US/Eastern,DeKalb Peachtree Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KHPN,US/Eastern,Westchester County Airport
KDTW,US/Eastern,Detroit Metropolitan Wayne County Airport
KLNS,US/Eastern,Lancaster Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KAGC,US/Eastern,Allegheny County Airport
KOAK,US/Pacific,San Francisco Bay Oakland International Airport
KMDW,US/Central,Chicago Midway International Airport
KMIC,US/Central,Crystal Airport
KLGA,US/Eastern,LaGuardia Airport
KLOU,US/Eastern,Bowman Field
KDTW,US/Eastern,Detroit Metropolitan Wayne County Airport
KSGR,US/Central,Sugar Land Regional Airport
KMLE,US/Central,Millard Airport
KGHG,US/Eastern,Marshfield Municipal George Harlow Field
KFRG,US/Eastern,Republic Airport
KPDK,US/Eastern,DeKalb Peachtree Airport
KALB,US/Eastern,Albany International Airport
KPWK,US/Central,Chicago Executive Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KBAF,US/Eastern,Westfield-Barnes Regional Airport
KFIT,US/Eastern,Fitchburg Municipal Airport
KALB,US/Eastern,Albany International Airport
KPAE,US/Pacific,Seattle Paine Field International Airport
KLWM,US/Eastern,Lawrence Municipal Airport
KDPA,US/Central,Dupage Airport
KAZO,US/Eastern,Kalamazoo Battle Creek International Airport
KIAD,US/Eastern,Washington Dulles International Airport
KDPA,US/Central,Dupage Airport
KVNC,US/Eastern,Venice Municipal Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KHPN,US/Eastern,Westchester County Airport
KBOS,US/Eastern,Logan International Airport
KIAH,US/Central,George Bush Intercontinental Houston Airport
KANQ,US/Eastern,Tri State Steuben County Airport
KORD,US/Central,Chicago O'Hare International Airport
KMDW,US/Central,Chicago Midway International Airport
KMMU,US/Eastern,Morristown Municipal Airport
KATL,US/Eastern,Hartsfield Jackson Atlanta International Airport
KAGC,US/Eastern,Allegheny County Airport
KDAL,US/Central,Dallas Love Field
KORD,US/Central,Chicago O'Hare International Airport
KPIT,US/Eastern,Pittsburgh International Airport
KORD,US/Central,Chicago O'Hare International Airport
KBJJ,US/Eastern,Wayne County Airport
KGVL,US/Eastern,Lee Gilmer Memorial Airport
KPOU,US/Eastern,Dutchess County Airport
KIMM,US/Eastern,Immokalee Regional Airport
KARB,US/Eastern,Ann Arbor Municipal Airport
KLGA,US/Eastern,LaGuardia Airport
KAPA,US/Mountain,Centennial Airport
KAGC,US/Eastern,Allegheny County Airport
K3A6,US/Pacific,Pacific City State Airport
KPHL,US/Eastern,Philadelphia International Airport
KLNS,US/Eastern,Lancaster Airport
KFRG,US/Eastern,Republic Airport
KALB,US/Eastern,Albany International Airport
KOMA,US/Central,Eppley Airfield
KMDW,US/Central,Chicago Midway International Airport
KCLT,US/Eastern,Charlotte Douglas International Airport
KDXR,US/Eastern,Danbury Municipal Airport
KNUW,US/Pacific,Whidbey Island Naval Air Station (Ault Field)
KMSN,US/Central,Dane County Regional Truax Field
KSFZ,US/Eastern,North Central State Airport
KHPN,US/Eastern,Westchester County Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KLGA,US/Eastern,LaGuardia Airport
KGAI,US/Eastern,Montgomery County Airpark
K3A6,US/Pacific,Pacific City State Airport
KMSP,US/Central,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field
KFME,US/Eastern,Tipton Airport
KMCJ,US/Central,Salina Municipal Airport
KLOM,US/Eastern,Wings Field
KTZR,US/Eastern,Bolton Field
KGRB,US/Central,Austin Straubel International Airport
KHPN,US/Eastern,Westchester County Airport
KBED,US/Eastern,Laurence G Hanscom Field
KBJC,US/Mountain,Rocky Mountain Metropolitan Airport
KAPG,US/Eastern,Phillips Army Air Field
KSLC,US/Mountain,Salt Lake City International Airport
KDPA,US/Central,Dupage Airport
KMSP,US/Central,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field
KCDW,US/Eastern,Essex County Airport
KDMW,US/Eastern,Carroll County Regional Jack B Poage Field
KBTA,US/Central,Blair Executive Airport
KHPN,US/Eastern,Westchester County Airport
KAGC,US/Eastern,Allegheny County Airport
KCVG,US/Eastern,Cincinnati Northern Kentucky International Airport
KORH,US/Eastern,Worcester Regional Airport
KVLL,US/Eastern,Oakland Troy Airport
KHPN,US/Eastern,Westchester County Airport
KLOM,US/Eastern,Wings Field
KSCK,US/Pacific,Stockton Metropolitan Airport
K3A6,US/Pacific,Pacific City State Airport
K3A6,US/Pacific,Pacific City State Airport
KCGS,US/Eastern,College Park Airport
KHPN,US/Eastern,Westchester County Airport
KTSP,US/Pacific,Tehachapi Municipal Airport
KANQ,US/Eastern,Tri State Steuben County Airport
KMDW,US/Central,Chicago Midway International Airport
KVLL,US/Eastern,Oakland Troy Airport
KHPN,US/Eastern,Westchester County Airport
KMOD,US/Pacific,Modesto City Co-Harry Sham Field
KDXR,US/Eastern,Danbury Municipal Airport
KHPN,US/Eastern,Westchester County Airport
KDXR,US/Eastern,Danbury Municipal Airport
KSTL,US/Central,St. Louis Lambert International Airport
KTHV,US/Eastern,York Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KPNE,US/Eastern,Northeast Philadelphia Airport
KLWM,US/Eastern,Lawrence Municipal Airport
KCLE,US/Eastern,Cleveland Hopkins International Airport
K3A6,US/Pacific,Pacific City State Airport
KMSP,US/Central,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field
KSTP,US/Central,Saint Paul Downtown Holman Field
KIAD,US/Eastern,Washington Dulles International Airport
KJFK,US/Eastern,John F Kennedy International Airport
KLOT,US/Central,Lewis University Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KIAG,US/Eastern,Niagara Falls International Airport
KDAL,US/Central,Dallas Love Field
KPTW,US/Eastern,Heritage Field
KBED,US/Eastern,Laurence G Hanscom Field
KILN,US/Eastern,Wilmington Airpark
KJFK,US/Eastern,John F Kennedy International Airport
K3A6,US/Pacific,Pacific City State Airport
KMDW,US/Central,Chicago Midway International Airport
K3A6,US/Pacific,Pacific City State Airport
KLBE,US/Eastern,Arnold Palmer Regional Airport
KPHL,US/Eastern,Philadelphia International Airport
KDPA,US/Central,Dupage Airport
KSFF,US/Pacific,Felts Field
KUGN,US/Central,Waukegan National Airport
KJFK,US/Eastern,John F Kennedy International Airport
KFNT,US/Eastern,Bishop International Airport
KEYE,US/Eastern,Eagle Creek Airpark
KFNT,US/Eastern,Bishop International Airport
K3A6,US/Pacific,Pacific City State Airport
KFNT,US/Eastern,Bishop International Airport
KBOS,US/Eastern,Logan International Airport
KCBF,US/Central,Council Bluffs Municipal Airport
KAZO,US/Eastern,Kalamazoo Battle Creek International Airport
KBAK,US/Eastern,Columbus Municipal Airport
KHFD,US/Eastern,Hartford Brainard Airport
KCGS,US/Eastern,College Park Airport
KSGR,US/Central,Sugar Land Regional Airport
KSCK,US/Pacific,Stockton Metropolitan Airport
KDPA,US/Central,Dupage Airport
KBKL,US/Eastern,Burke Lakefront Airport
KLWS,US/Pacific,Lewiston Nez Perce County Airport
KIKV,US/Central,Ankeny Regional Airport
KMLE,US/Central,Millard Airport
KFRG,US/Eastern,Republic Airport
KVNY,US/Pacific,Van Nuys Airport
KMKC,US/Central,Charles B. Wheeler Downtown Airport
KMLE,US/Central,Millard Airport
K3A6,US/Pacific,Pacific City State Airport
KACB,US/Eastern,Antrim County Airport
KMKE,US/Central,General Mitchell International Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KLOM,US/Eastern,Wings Field
KLUK,US/Eastern,Cincinnati Municipal Airport Lunken Field
KCMH,US/Eastern,John Glenn Columbus International Airport
KFTY,US/Eastern,Fulton County Airport Brown Field
KUGN,US/Central,Waukegan National Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
K3A6,US/Pacific,Pacific City State Airport
KBKF,US/Mountain,Buckley Space Force Base
KAGC,US/Eastern,Allegheny County Airport
KAGC,US/Eastern,Allegheny County Airport
KYIP,US/Eastern,Willow Run Airport
KMCJ,US/Central,Salina Municipal Airport
KDAA,US/Eastern,Davison Army Air Field
KMKC,US/Central,Charles B. Wheeler Downtown Airport
KBTP,US/Eastern,Pittsburgh/Butler Regional Airport
KORD,US/Central,Chicago O'Hare International Airport
KBDR,US/Eastern,Igor I Sikorsky Memorial Airport
KORD,US/Central,Chicago O'Hare International Airport
KMGY,US/Eastern,Dayton-Wright Brothers Airport
KTTN,US/Eastern,Trenton Mercer Airport
KFNT,US/Eastern,Bishop International Airport
KOMA,US/Central,Eppley Airfield
KHPN,US/Eastern,Westchester County Airport
KBVY,US/Eastern,Beverly Regional Airport
KHPN,US/Eastern,Westchester County Airport
KVLL,US/Eastern,Oakland Troy Airport
KDTW,US/Eastern,Detroit Metropolitan Wayne County Airport
KDPA,US/Central,Dupage Airport
KWVI,US/Pacific,Watsonville Municipal Airport
K3A6,US/Pacific,Pacific City State Airport
KORD,US/Central,Chicago O'Hare International Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
KOSU,US/Eastern,The Ohio State University Airport - Don Scott Field
KVLL,US/Eastern,Oakland Troy Airport
KSTL,US/Central,St. Louis Lambert International Airport
KMMK,US/Eastern,Meriden Markham Municipal Airport
KMCJ,US/Central,Salina Municipal Airport
KBED,US/Eastern,Laurence G Hanscom Field
KBKL,US/Eastern,Burke Lakefront Airport
K3A6,US/Pacific,Pacific City State Airport
KUGN,US/Central,Waukegan National Airport
KABE,US/Eastern,Lehigh Valley International Airport
KAKR,US/Eastern,Akron Fulton International Airport
KMWC,US/Central,Lawrence J Timmerman Airport
KAFF,US/Mountain,USAF Academy Airfield
KLNS,US/Eastern,Lancaster Airport
KAZO,US/Eastern,Kalamazoo Battle Creek International Airport
KDPA,US/Central,Dupage Airport
K3A6,US/Pacific,Pacific City State Airport
KFNT,US/Eastern,Bishop International Airport
KHPN,US/Eastern,Westchester County Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KMGE,US/Eastern,Dobbins Air Reserve Base
KATL,US/Eastern,Hartsfield Jackson Atlanta International Airport
KFRG,US/Eastern,Republic Airport
KBWI,US/Eastern,Baltimore/Washington International Thurgood Marshall Airport
K3A6,US/Pacific,Pacific City State Airport
KDPA,US/Central,Dupage Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KHFD,US/Eastern,Hartford Brainard Airport
KPNE,US/Eastern,Northeast Philadelphia Airport
KSTS,US/Pacific,Charles M. Schulz Sonoma County Airport
KMLE,US/Central,Millard Airport
KPWK,US/Central,Chicago Executive Airport
KFNL,US/Mountain,Northern Colorado Regional Airport
K3A6,US/Pacific,Pacific City State Airport
KUGN,US/Central,Waukegan National Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KCLT,US/Eastern,Charlotte Douglas International Airport
KJVL,US/Central,Southern Wisconsin Regional Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KPIT,US/Eastern,Pittsburgh International Airport
KDPA,US/Central,Dupage Airport
KLGA,US/Eastern,LaGuardia Airport
KWRI,US/Eastern,Mc Guire Air Force Base
KFDY,US/Eastern,Findlay Airport
KORD,US/Central,Chicago O'Hare International Airport
KIAH,US/Central,George Bush Intercontinental Houston Airport
KDAY,US/Eastern,James M Cox Dayton International Airport
KLNS,US/Eastern,Lancaster Airport
KCDW,US/Eastern,Essex County Airport
K48I,US/Eastern,Braxton County Airport
KPNE,US/Eastern,Northeast Philadelphia Airport
KDAY,US/Eastern,James M Cox Dayton International Airport
KLNS,US/Eastern,Lancaster Airport
KDBQ,US/Central,Dubuque Regional Airport
KJVL,US/Central,Southern Wisconsin Regional Airport
KFFO,US/Eastern,Wright-Patterson Air Force Base
KLWM,US/Eastern,Lawrence Municipal Airport
KLGA,US/Eastern,LaGuardia Airport
KPWK,US/Central,Chicago Executive Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KOLM,US/Pacific,Olympia Regional Airport
K3A6,US/Pacific,Pacific City State Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KNFG,US/Pacific,Camp Pendleton MCAS (Munn Field) Airport
KFTY,US/Eastern,Fulton County Airport Brown Field
KDCA,US/Eastern,Ronald Reagan Washington National Airport
KORD,US/Central,Chicago O'Hare International Airport
K3A6,US/Pacific,Pacific City State Airport
KDXR,US/Eastern,Danbury Municipal Airport
KLWM,US/Eastern,Lawrence Municipal Airport
KDCA,US/Eastern,Ronald Reagan Washington National Airport
KMGJ,US/Eastern,Orange County Airport
KDAL,US/Central,Dallas Love Field
KGRR,US/Eastern,Gerald R. Ford International Airport
KIGQ,US/Central,Lansing Municipal Airport
KMLE,US/Central,Millard Airport
KDPA,US/Central,Dupage Airport
KBED,US/Eastern,Laurence G Hanscom Field
KGRR,US/Eastern,Gerald R. Ford International Airport
KSUS,US/Central,Spirit of St Louis Airport
KDTW,US/Eastern,Detroit Metropolitan Wayne County Airport
KPAE,US/Pacific,Seattle Paine Field International Airport
KTEB,US/Eastern,Teterboro Airport
KISP,US/Eastern,Long Island Mac Arthur Airport
KMKE,US/Central,General Mitchell International Airport
K3A6,US/Pacific,Pacific City State Airport
KOSA,US/Central,Mount Pleasant Regional Airport
KPDK,US/Eastern,DeKalb Peachtree Airport
KEFT,US/Central,Monroe Municipal Airport
KTEB,US/Eastern,Teterboro Airport
KOQN,US/Eastern,Brandywine Regional Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KDAL,US/Central,Dallas Love Field
KGEG,US/Pacific,Spokane International Airport
K3A6,US/Pacific,Pacific City State Airport
KIKV,US/Central,Ankeny Regional Airport
KJYO,US/Eastern,Leesburg Executive Airport
KBDR,US/Eastern,Igor I Sikorsky Memorial Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KCLT,US/Eastern,Charlotte Douglas International Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KPVD,US/Eastern,Theodore Francis Green State Airport
KVLL,US/Eastern,Oakland Troy Airport
KHFD,US/Eastern,Hartford Brainard Airport
KCLE,US/Eastern,Cleveland Hopkins International Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KPOU,US/Eastern,Dutchess County Airport
KDFW,US/Central,Dallas Fort Worth International Airport
KFNT,US/Eastern,Bishop International Airport
KFTY,US/Eastern,Fulton County Airport Brown Field
KMEM,US/Central,Memphis International Airport
KDPA,US/Central,Dupage Airport
KFNT,US/Eastern,Bishop International Airport
KONZ,US/Eastern,Grosse Ile Municipal Airport
K3A6,US/Pacific,Pacific City State Airport
KAKR,US/Eastern,Akron Fulton International Airport
KHPN,US/Eastern,Westchester County Airport
KMGY,US/Eastern,Dayton-Wright Brothers Airport
KVLL,US/Eastern,Oakland Troy Airport
KALB,US/Eastern,Albany International Airport
KFNT,US/Eastern,Bishop International Airport
KCLT,US/Eastern,Charlotte Douglas International Airport
KMDW,US/Central,Chicago Midway International Airport
KLNS,US/Eastern,Lancaster Airport
KANE,US/Central,Anoka County-Blaine (Janes Field) Airport
KLOM,US/Eastern,Wings Field
KALB,US/Eastern,Albany International Airport
KI75,US/Central,Osceola Municipal Airport
KDAL,US/Central,Dallas Love Field
KOSU,US/Eastern,The Ohio State University Airport - Don Scott Field
KGRR,US/Eastern,Gerald R. Ford International Airport
KHFD,US/Eastern,Hartford Brainard Airport
KPSF,US/Eastern,Pittsfield Municipal Airport
KLGA,US/Eastern,LaGuardia Airport
KPWK,US/Central,Chicago Executive Airport
KSWF,US/Eastern,New York Stewart International Airport
KBUY,US/Eastern,Burlington Alamance Regional Airport
KDXR,US/Eastern,Danbury Municipal Airport
KHPN,US/Eastern,Westchester County Airport
KFNT,US/Eastern,Bishop International Airport
KPNE,US/Eastern,Northeast Philadelphia Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KJOT,US/Central,Joliet Regional Airport
KPOU,US/Eastern,Dutchess County Airport
KXLL,US/Eastern,Allentown Queen City Municipal Airport
KDAL,US/Central,Dallas Love Field
KFRG,US/Eastern,Republic Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KLPR,US/Eastern,Lorain County Regional Airport
KBNA,US/Central,Nashville International Airport
KMIC,US/Central,Crystal Airport
KDFW,US/Central,Dallas Fort Worth International Airport
KMGJ,US/Eastern,Orange County Airport
KBUR,US/Pacific,Hollywood Burbank Airport
KRJD,US/Eastern,Ridgely Airpark
K3A6,US/Pacific,Pacific City State Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KPTW,US/Eastern,Heritage Field
KBDN,US/Pacific,Bend Municipal Airport
KYIP,US/Eastern,Willow Run Airport
KMDT,US/Eastern,Harrisburg International Airport
KLOT,US/Central,Lewis University Airport
KBOI,US/Mountain,Boise Air Terminal/Gowen Field
K3A6,US/Pacific,Pacific City State Airport
KTHV,US/Eastern,York Airport
KPIT,US/Eastern,Pittsburgh International Airport
KBIV,US/Eastern,West Michigan Regional Airport
KPNE,US/Eastern,Northeast Philadelphia Airport
KHFD,US/Eastern,Hartford Brainard Airport
KJYO,US/Eastern,Leesburg Executive Airport
KIMM,US/Eastern,Immokalee Regional Airport
KOWD,US/Eastern,Norwood Memorial Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KUGN,US/Central,Waukegan National Airport
KEWR,US/Eastern,Newark Liberty International Airport
KMHR,US/Pacific,Sacramento Mather Airport
KMMU,US/Eastern,Morristown Municipal Airport
KPSC,US/Pacific,Tri Cities Airport
KDPA,US/Central,Dupage Airport
KDPA,US/Central,Dupage Airport
KOSU,US/Eastern,The Ohio State University Airport - Don Scott Field
KSFZ,US/Eastern,North Central State Airport
KJRB,US/Eastern,Downtown Manhattan Heliport
KSGR,US/Central,Sugar Land Regional Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
KMJX,US/Eastern,Ocean County Airport
KYNG,US/Eastern,Youngstown Warren Regional Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KLOU,US/Eastern,Bowman Field
KDPA,US/Central,Dupage Airport
KPTK,US/Eastern,Oakland County International Airport
KPWK,US/Central,Chicago Executive Airport
KUGN,US/Central,Waukegan National Airport
KBUR,US/Pacific,Hollywood Burbank Airport
KMKT,US/Central,Mankato Regional Airport
KATL,US/Eastern,Hartsfield Jackson Atlanta International Airport
KCLE,US/Eastern,Cleveland Hopkins International Airport
K3A6,US/Pacific,Pacific City State Airport
KLUK,US/Eastern,Cincinnati Municipal Airport Lunken Field
KHPN,US/Eastern,Westchester County Airport
K3A6,US/Pacific,Pacific City State Airport
KELP,US/Mountain,El Paso International Airport
KPDK,US/Eastern,DeKalb Peachtree Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KBED,US/Eastern,Laurence G Hanscom Field
KPHL,US/Eastern,Philadelphia International Airport
K3A6,US/Pacific,Pacific City State Airport
KDPA,US/Central,Dupage Airport
KPHL,US/Eastern,Philadelphia International Airport
KSCH,US/Eastern,Schenectady County Airport
KGRR,US/Eastern,Gerald R. Ford International Airport
KFNT,US/Eastern,Bishop International Airport
KVGT,US/Pacific,North Las Vegas Metropolitan International Airport
KBOS,US/Eastern,Logan International Airport
KPOU,US/Eastern,Dutchess County Airport
KDAY,US/Eastern,James M Cox Dayton International Airport
KMGE,US/Eastern,Dobbins Air Reserve Base
KHFD,US/Eastern,Hartford Brainard Airport
KDPA,US/Central,Dupage Airport
K3A6,US/Pacific,Pacific City State Airport
KLNS,US/Eastern,Lancaster Airport
KDPA,US/Central,Dupage Airport
KDAL,US/Central,Dallas Love Field
KPVD,US/Eastern,Theodore Francis Green State Airport
